check_date,month,store_serial,store_name,checklist_number,check_category,report_score,module_id,module_cn,severity,deduction_value,label,matched_clause,check_items,issue_description,anomaly
2026-01-05,2026-01,US00001,Times Square,CK-2026-2001,Store food safety self-check,88,10,饮用水与管道系统,O,0,Water Sinks & Pipes,10.1.2,Potable water supply is adequate for all operational needs,Personal items found in food preparation area,False
2026-01-05,2026-01,US00001,Times Square,CK-2026-2001,Store food safety self-check,88,5,清洁卫生,G,-2,Procedures for Cleaning and Disinfection,5.4.2,Trash cans are emptied regularly and lids are in working condition,Food item past expiration date found in cold storage area,False
2026-01-05,2026-01,US00001,Times Square,CK-2026-2001,Store food safety self-check,88,7,设备设施维护,L,-1,Equipment Inspection and Maintenance,7.1.1,(L) Equipment is inspected regularly and maintenance records is kept,Personal items found in food preparation area,False
2026-01-05,2026-01,US00001,Times Square,CK-2026-2001,Store food safety self-check,88,4,交叉污染防控,L,-1,Material Storage Location Specification,4.2.1,(L) Materials are stored in designated locations according to specification is verified,Pest trap behind counter not checked in 30+ days,False
2026-01-05,2026-01,US00001,Times Square,CK-2026-2001,Store food safety self-check,88,10,饮用水与管道系统,G,-2,Water Filtration Device,10.2.1,Water sinks and pipes are in good condition without leaks,Operating license not displayed in customer visible area,False
2026-01-05,2026-01,US00001,Times Square,CK-2026-2001,Store food safety self-check,88,7,设备设施维护,L,-1,Facility Inspection and Maintenance,7.2.2,Refrigeration equipment is functioning within proper temperature ranges,Gloves not worn during food preparation observed,False
2026-01-05,2026-01,US00001,Times Square,CK-2026-2001,Store food safety self-check,88,2,员工健康与个人卫生,O,0,Handwashing Standards,2.1.1,(G) All food handlers have valid health certificates on file,Personal items found in food preparation area,False
2026-01-05,2026-01,US00001,Times Square,CK-2026-2001,Store food safety self-check,88,3,供应商管理,L,-1,Approved Goods,3.1.1,All food supplies are from approved suppliers on the vendor list,Employee health certificate expired last month,False
2026-01-06,2026-01,US00008,JFK Terminal 1,CK-2026-2007,Store food safety self-check,94,4,交叉污染防控,L,-1,Material Storage Location Specification,4.1.2,Cutting boards and utensils is designated for specific food types,Handwashing station missing soap dispenser refill,False
2026-01-06,2026-01,US00008,JFK Terminal 1,CK-2026-2007,Store food safety self-check,94,9,虫害防控,L,-1,Insect Pest Control Facilities & Suppliers,9.1.1,Pest control service contract is current ,Water filter replacement is overdue by two weeks,False
2026-01-06,2026-01,US00008,JFK Terminal 1,CK-2026-2007,Store food safety self-check,94,6,产品与有效期管理,L,-1,Expiration Date,6.3.1,Expiration dates is checked daily and expired items is removed,Food items stored directly on floor in dry storage room,False
2026-01-06,2026-01,US00008,JFK Terminal 1,CK-2026-2007,Store food safety self-check,94,2,员工健康与个人卫生,L,-1,Personal Hygiene,2.2.2,(L) Handwashing station is fully stocked with soap and paper towels,Chemical storage bottles not properly labeled with contents,False
2026-01-06,2026-01,US00008,JFK Terminal 1,CK-2026-2007,Store food safety self-check,94,8,化学品管理,L,-1,Chemical Mark/Storage,8.1.1,(L) All chemicals are properly labeled and stored in designated area,Pest trap behind counter not checked in 30+ days,False
2026-01-06,2026-01,US00008,JFK Terminal 1,CK-2026-2007,Store food safety self-check,94,5,清洁卫生,L,-1,Trash Cans,5.4.2,Trash cans are emptied regularly and lids a,Mold observed on ceiling tiles near ventilation duct,False
2026-01-06,2026-01,US00008,JFK Terminal 1,CK-2026-2007,Store food safety self-check,94,3,供应商管理,G,-2,Approved Goods,3.1.2,(G) Supplier certifications and quality documents is on file,Mold observed on ceiling tiles near ventilation duct,False
