store_serial,store_name,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12,total_deduction,report_score
US00007,Penn Station,-1,-5,0,-2,-10,-9,-2,-7,-2,-6,-1,-1,-46,94
US00010,Union Square,-3,-3,-7,0,-8,-4,0,-1,-1,-2,0,-5,-34,73
US00009,Columbus Circle,-6,-7,0,-1,-7,-1,-2,-2,0,0,0,-2,-28,86
US00003,Bryant Park,-6,0,-1,-2,-7,-4,0,-1,0,-2,-1,0,-24,78
US00004,Wall Street,-1,0,-2,-1,-7,-3,0,0,0,-5,0,-2,-21,74
US00005,Midtown East,-2,-5,0,0,-4,-1,0,0,0,-5,0,-1,-18,74
US00008,JFK Terminal 1,-1,-1,0,-2,-6,-1,0,-2,-3,-2,0,0,-18,87
US00002,Herald Square,-3,-1,0,0,-3,-1,0,-1,0,0,0,-1,-10,97
US00001,Times Square,-2,-1,-2,-1,0,-3,-1,0,0,0,0,0,-10,73
US00006,28th & 6th,0,0,0,0,-3,-1,-2,0,0,-1,0,0,-7,78
