check_date,month,store_serial,store_name,checklist_number,check_category,report_score,module_id,module_cn,severity,deduction_value,label,matched_clause,match_method,check_items,issue_description,anomaly
2026-02-01,2026-02,US00003,Bryant Park,CK-2026-1004,Area food safety Check,90,2,员工健康与个人卫生,L,-1,Employees' Health,2.1.2,text_match,Employee health screening records is up to date,Temperature log not completed for main refrigerator today,False
2026-02-01,2026-02,US00003,Bryant Park,CK-2026-1004,Area food safety Check,90,3,供应商管理,O,0,Approved Goods,3.2.1,text_match,Incoming goods are inspected and documented upon delivery,No air gap found in plumbing connection under three-compartment sink,False
2026-02-01,2026-02,US00003,Bryant Park,CK-2026-1004,Area food safety Check,90,4,交叉污染防控,L,-1,Cross Contamination,4.1.1,text_match,Raw and cooked food items is stored separately to prevent cross contamination,Personal items found in food preparation area,False
2026-02-01,2026-02,US00003,Bryant Park,CK-2026-1004,Area food safety Check,90,7,设备设施维护,O,0,Facility Inspection and Maintenance,7.1.2,text_match,Facility structures are inspected and maintained in good condition is verified,Pest trap behind counter not checked in 30+ days,False
2026-02-01,2026-02,US00003,Bryant Park,CK-2026-1004,Area food safety Check,90,9,虫害防控,G,-2,No pests enter,9.1.2,text_match,Pest control facilities including traps is properly maintained,"Floor not clean under the sink area, standing water observed",False
2026-02-04,2026-02,US00006,28th & 6th,CK-2026-1008,Store food safety audit,88,1,证照文件记录,L,-1,Licenses and certificates,1.2.1,text_match,All required government permits are posted ,No air gap found in plumbing connection under three-compartment sink,False
2026-02-04,2026-02,US00006,28th & 6th,CK-2026-1008,Store food safety audit,88,2,员工健康与个人卫生,G,-2,Disposable Gloves and Blue Bandages,2.2.1,text_match,Staff demonstrate proper handwashing tec,Food item past expiration date found in cold storage area,False
2026-02-04,2026-02,US00006,28th & 6th,CK-2026-1008,Store food safety audit,88,2,员工健康与个人卫生,L,-1,Personal Hygiene,2.2.2,text_match,(L) Handwashing station is fully stocked with soap and paper towels,Chemical storage bottles not properly labeled with contents,False
2026-02-04,2026-02,US00006,28th & 6th,CK-2026-1008,Store food safety audit,88,3,供应商管理,G,-2,Approved Goods,3.1.2,text_match,(G) Supplier certifications and quality documents is on file,Mold observed on ceiling tiles near ventilation duct,False
2026-02-04,2026-02,US00006,28th & 6th,CK-2026-1008,Store food safety audit,88,5,清洁卫生,L,-1,Trash Cans,5.4.2,text_match,Trash cans are emptied regularly and lids a,Mold observed on ceiling tiles near ventilation duct,False
2026-02-04,2026-02,US00006,28th & 6th,CK-2026-1008,Store food safety audit,88,6,产品与有效期管理,L,-1,Unqualified Goods,6.3.2,text_match,Food preparation follows standard opera,Handwashing station missing soap dispenser refill,False
2026-02-04,2026-02,US00006,28th & 6th,CK-2026-1008,Store food safety audit,88,6,产品与有效期管理,L,-1,Expiration Date,6.3.1,text_match,Expiration dates is checked daily and expired items is removed,Food items stored directly on floor in dry storage room,False
2026-02-04,2026-02,US00006,28th & 6th,CK-2026-1008,Store food safety audit,88,8,化学品管理,L,-1,Chemical Mark/Storage,8.1.1,text_match,(L) All chemicals are properly labeled and stored in designated area,Pest trap behind counter not checked in 30+ days,False
2026-02-04,2026-02,US00006,28th & 6th,CK-2026-1008,Store food safety audit,88,9,虫害防控,G,-2,Insect Pest Control Facilities & Suppliers,9.1.1,text_match,Pest control service contract is current ,Water filter replacement is overdue by two weeks,False
2026-02-05,2026-02,US00007,Penn Station,CK-2026-1010,Store food safety self-check,92,1,证照文件记录,L,-1,Licenses and certificates,1.2.2,text_match,(L) License renewal dates are tracked and updated before expiration,Personal items found in food preparation area,False
2026-02-05,2026-02,US00007,Penn Station,CK-2026-1010,Store food safety self-check,92,1,证照文件记录,L,-1,Licenses and certificates,1.1.2,text_match,(L) Business registration certificate is current and accessible,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-02-05,2026-02,US00007,Penn Station,CK-2026-1010,Store food safety self-check,92,2,员工健康与个人卫生,M,-5,Handwashing Standards,2.2.2,text_match,Handwashing station is fully stocked with,Mold observed on ceiling tiles near ventilation duct,False
2026-02-05,2026-02,US00007,Penn Station,CK-2026-1010,Store food safety self-check,92,5,清洁卫生,O,0,Food Processing Area,5.3.1,text_match,Food processing area is maintained in clean and sanitary condition,Gloves not worn during food preparation observed,False
2026-02-05,2026-02,US00007,Penn Station,CK-2026-1010,Store food safety self-check,92,5,清洁卫生,L,-1,Food Processing Area,5.4.2,text_match,Trash cans are emptied regularly and lids are in working condition,Grease trap cleaning overdue per maintenance schedule,False
2026-02-05,2026-02,US00007,Penn Station,CK-2026-1010,Store food safety self-check,92,9,虫害防控,L,-1,No Sign of Insect Pests,9.2.2,text_match,All entry points are sealed to prevent pests from entering,Food storage containers not labeled with preparation date,False
2026-02-05,2026-02,US00007,Penn Station,CK-2026-1010,Store food safety self-check,92,12,门店稽核管理,L,-1,Requirements,12.1.1,text_match,Store audit management procedures and ch,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-02-08,2026-02,US00001,Times Square,CK-2026-1001,Store food safety self-check,93,2,员工健康与个人卫生,G,-2,Employees' Health,2.1.2,text_match,(L) Employee health screening records are up to date,Temperature log not completed for main refrigerator today,False
2026-02-08,2026-02,US00001,Times Square,CK-2026-1001,Store food safety self-check,93,3,供应商管理,L,-1,Approved Goods,3.1.2,text_match,Supplier certifications and quality do,Food items stored directly on floor in dry storage room,False
2026-02-08,2026-02,US00001,Times Square,CK-2026-1001,Store food safety self-check,93,5,清洁卫生,L,-1,Equipment and Food Processing Utensils,5.4.1,text_match,(L) Customer area tables and seating are clean and well-maintained,Chemical storage bottles not properly labeled with contents,False
2026-02-08,2026-02,US00001,Times Square,CK-2026-1001,Store food safety self-check,93,9,虫害防控,G,-2,No pests enter,9.1.2,text_match,(G) Pest control facilities including traps a,Handwashing station missing soap dispenser refill,False
2026-02-08,2026-02,US00001,Times Square,CK-2026-1001,Store food safety self-check,93,9,虫害防控,G,-2,Insect Pest Control Facilities & Suppliers,9.2.1,text_match,(G) No signs of insect or rodent activity observed during inspection,Trash can lid broken and does not close properly,False
2026-02-08,2026-02,US00001,Times Square,CK-2026-1001,Store food safety self-check,93,10,饮用水与管道系统,G,-2,Potable Water Supply is Adequate,10.1.1,text_match,(G) Water filtration device is installed and filt,Water filter replacement is overdue by two weeks,False
2026-02-09,2026-02,US00006,28th & 6th,CK-2026-1007,Area food safety Check,90,1,证照文件记录,O,0,Licenses and certificates,1.1.2,text_match,Business registration certificate is current and accessible,Mold observed on ceiling tiles near ventilation duct,False
2026-02-09,2026-02,US00006,28th & 6th,CK-2026-1007,Area food safety Check,90,2,员工健康与个人卫生,L,-1,Disposable Gloves and Blue Bandages,2.3.2,text_match,(L) Disposable gloves are used during food preparati,"Ice machine leaking water, needs repair by maintenance team",False
2026-02-09,2026-02,US00006,28th & 6th,CK-2026-1007,Area food safety Check,90,3,供应商管理,G,-2,Approved Goods,3.2.1,text_match,(G) Incoming goods is inspected and documented upon delivery,Handwashing station missing soap dispenser refill,False
2026-02-09,2026-02,US00006,28th & 6th,CK-2026-1007,Area food safety Check,90,4,交叉污染防控,O,0,Cross Contamination,4.3.1,text_match,Measures are in place to avoid falling foreign objects into food,Mold observed on ceiling tiles near ventilation duct,False
2026-02-09,2026-02,US00006,28th & 6th,CK-2026-1007,Area food safety Check,90,4,交叉污染防控,O,0,Material Storage Location Specification,4.1.1,text_match,(G) Raw and cooked food items are stored separately to prevent cross contamination,Freezer temperature reading above -18C acceptable range,False
2026-02-09,2026-02,US00006,28th & 6th,CK-2026-1007,Area food safety Check,90,6,产品与有效期管理,L,-1,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,6.4.1,text_match,(G) Unqualified goods are segregated and properly documented,Temperature log not completed for main refrigerator today,False
2026-02-09,2026-02,US00006,28th & 6th,CK-2026-1007,Area food safety Check,90,10,饮用水与管道系统,O,0,Grease traps&Residue traps&Sewer lines,10.1.2,text_match,Potable water supply is adequate for all operational needs is verified,Food storage containers not labeled with preparation date,False
2026-02-09,2026-02,US00006,28th & 6th,CK-2026-1007,Area food safety Check,90,10,饮用水与管道系统,L,-1,Water Filtration Device,10.2.2,text_match,"(G) Grease traps, residue traps and sewer lines are cleaned regularly",Food items stored directly on floor in dry storage room,False
2026-02-09,2026-02,US00006,28th & 6th,CK-2026-1007,Area food safety Check,90,11,工作场所安全,S,-5,Workplace Safety,11.2.1,text_match,Fire extinguisher is inspected and within service date,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-02-09,2026-02,US00006,28th & 6th,CK-2026-1007,Area food safety Check,90,12,门店稽核管理,G,-2,Requirements,12.1.2,text_match,(G) Previous audit findings have been addressed and documented,Temperature log not completed for main refrigerator today,False
2026-02-09,2026-02,US00006,28th & 6th,CK-2026-1007,Area food safety Check,90,12,门店稽核管理,G,-2,Requirements,12.1.1,text_match,Store audit management procedures and checklists are followed is verified,Employee health certificate expired last month,False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,1,证照文件记录,L,-1,Government inspection,1.1.1,text_match,(G) Store has valid food service license prominently displayed,Water filter replacement is overdue by two weeks,False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,2,员工健康与个人卫生,G,-2,Employees' Health,2.1.1,text_match,All food handlers have valid health certificates on file,Food storage containers not labeled with preparation date,False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,2,员工健康与个人卫生,G,-2,Personal certificate,2.2.1,text_match,(L) Staff demonstrate proper handwashing technique and frequency,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,4,交叉污染防控,O,0,Material Storage Location Specification,4.1.1,text_match,Raw and cooked food items are stored separately to prevent cross contamination is verified,Handwashing station missing soap dispenser refill,False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,6,产品与有效期管理,L,-1,Unqualified Goods,6.3.1,text_match,Expiration dates are checked daily and expired items are removed is verified,Water filter replacement is overdue by two weeks,False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,6,产品与有效期管理,G,-2,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,6.1.1,text_match,(G) Temperature monitoring devices are installed in all refrigerators and freezers is verified,Food items stored directly on floor in dry storage room,False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,7,设备设施维护,L,-1,Equipment Inspection and Maintenance,7.2.2,text_match,(L) Refrigeration equipment is functioning within proper temperature ranges,Food items stored directly on floor in dry storage room,False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,9,虫害防控,G,-2,Insect Pest Control Facilities & Suppliers,9.1.1,text_match,Pest control service contract is current ,Food items stored directly on floor in dry storage room,False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,10,饮用水与管道系统,O,0,Potable Water Supply is Adequate,10.1.1,text_match,Water filtration device is installed and filter is changed on schedule,"Ice machine leaking water, needs repair by maintenance team",False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,10,饮用水与管道系统,G,-2,Grease traps&Residue traps&Sewer lines,10.2.1,text_match,Water sinks and pipes is in good condition without leaks,No air gap found in plumbing connection under three-compartment sink,False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,11,工作场所安全,L,-1,Workplace Safety,11.2.1,text_match,Fire extinguisher is inspected and within service date is verified,No air gap found in plumbing connection under three-compartment sink,False
2026-02-12,2026-02,US00002,Herald Square,CK-2026-1003,Area food safety Check,86,12,门店稽核管理,L,-1,Requirements,12.1.2,text_match,Previous audit findings have been addressed and documented,Trash can lid broken and does not close properly,False
2026-02-13,2026-02,US00005,Midtown East,CK-2026-1006,Area food safety Check,88,2,员工健康与个人卫生,G,-2,Personal certificate,2.2.2,text_match,(G) (L) Handwashing station is fully stocked with soap and paper towels,Freezer temperature reading above -18C acceptable range,False
2026-02-13,2026-02,US00005,Midtown East,CK-2026-1006,Area food safety Check,88,6,产品与有效期管理,G,-2,Expiration Date,6.3.2,text_match,(G) (G) Food preparation follows standard operating specifications,Gloves not worn during food preparation observed,False
2026-02-13,2026-02,US00005,Midtown East,CK-2026-1006,Area food safety Check,88,7,设备设施维护,L,-1,Lights,7.2.1,text_match,Lighting fixtures in food preparation areas are protected and functional,Personal items found in food preparation area,False
2026-02-13,2026-02,US00005,Midtown East,CK-2026-1006,Area food safety Check,88,7,设备设施维护,L,-1,Equipment Inspection and Maintenance,7.1.2,text_match,(L) Facility structures are inspected and maintained in good condition,Operating license not displayed in customer visible area,False
2026-02-13,2026-02,US00005,Midtown East,CK-2026-1006,Area food safety Check,88,9,虫害防控,O,0,Insect Pest Control Facilities & Suppliers,9.2.2,text_match,All entry points are sealed to prevent ,Mold observed on ceiling tiles near ventilation duct,False
2026-02-13,2026-02,US00005,Midtown East,CK-2026-1006,Area food safety Check,88,10,饮用水与管道系统,G,-2,Grease traps&Residue traps&Sewer lines,10.1.2,text_match,(G) Potable water supply is adequate for all operational needs,Pest trap behind counter not checked in 30+ days,False
2026-02-13,2026-02,US00005,Midtown East,CK-2026-1006,Area food safety Check,88,11,工作场所安全,G,-2,Workplace Safety,11.1.2,text_match,(G) First aid kit is stocked and accessible,"Floor not clean under the sink area, standing water observed",False
