store_name,store_serial_number,department_code,city,area,check_date,report_score,check_category,store_level,total_issues,total_deduction,s_count,m_count,g_count,l_count,o_count,prior_month_score,score_change,anomaly
Herald Square,US00002,LKUS00000002,New York City,Area 1,2026-03-19,97.0,Area food safety Check,Relax,8,-10.0,0,0,2,6,3,91.0,6.0,False
Penn Station,US00007,LKUS00000007,New York City,Area 3,2026-03-22,94.0,Store food safety self-check,Pickup,12,-21.0,0,1,5,6,2,95.0,-1.0,False
Columbus Circle,US00009,LKUS00000009,New York City,Area 1,2026-03-06,92.0,Store food safety self-check,Relax,7,-16.0,0,2,1,4,1,92.0,0.0,False
Union Square,US00010,LKUS00000010,New York City,Area 2,2026-03-25,89.0,Store food safety audit,Pickup,10,-17.0,0,1,3,6,3,97.0,-8.0,False
JFK Terminal 1,US00008,LKUS00000054,New York City,Area 3,2026-03-27,87.0,Store food safety self-check,Pickup,4,-6.0,0,0,2,2,1,94.0,-7.0,False
28th & 6th,US00006,LKUS00000006,New York City,Area 2,2026-03-25,78.0,Store food safety audit,Relax,6,-7.0,0,0,1,5,3,90.0,-12.0,False
Wall Street,US00004,LKUS00000004,New York City,Area 2,2026-03-02,74.0,Area food safety Check,Pickup,12,-21.0,1,0,5,6,2,83.0,-9.0,False
Midtown East,US00005,LKUS00000005,New York City,Area 2,2026-03-04,74.0,Store food safety self-check,Pickup,11,-18.0,0,1,3,7,2,88.0,-14.0,False
Bryant Park,US00003,LKUS00000003,New York City,Area 1,2026-03-28,72.0,Area food safety Check,Pickup,5,-11.0,0,1,2,2,6,90.0,-18.0,False
Times Square,US00001,LKUS00000001,New York City,Area 1,2026-03-20,-192.0,US Store Food Safety Audit,Pickup,0,0.0,0,0,0,0,0,,,True
