store_name,store_serial,check_date,checklist_number,module_id,module_cn,matched_clause,label,check_items,issue_description,deduction_type,severity,deduction_value,checker,match_method,estimated_responsibility
Wall Street,US00004,2026-03-02,CK-2026-1019,5,清洁卫生,5.1.2,Equipment and Food Processing Utensils,Cleaning schedule is posted and si,Food items stored directly on floor in dry storage room,Key,S,-5,Zhang Wei,text_match,门店
Bryant Park,US00003,2026-03-28,CK-2026-1018,5,清洁卫生,5.4.1,Procedures for Cleaning and Disinfection,Customer area tables and seating are clean and well-maintained is verified,Light fixture cover cracked in food prep area,Important,M,-5,Chen Yu,text_match,机修
Columbus Circle,US00009,2026-03-06,CK-2026-1027,1,证照文件记录,1.2.1,Licenses and certificates,All required government permits are posted in customer-visible area,Personal items found in food preparation area,Important,M,-5,Wang Fang,text_match,门店
Columbus Circle,US00009,2026-03-06,CK-2026-1027,5,清洁卫生,5.4.1,Trash Cans,Customer area tables and seating is clean and well-maintained,Water filter replacement is overdue by two weeks,Important,M,-5,Wang Fang,text_match,机修
Midtown East,US00005,2026-03-04,CK-2026-1020,10,饮用水与管道系统,10.2.1,Potable Water Supply is Adequate,Water sinks and pipes is in good condition without leaks,Operating license not displayed in customer visible area,Important,M,-5,Chen Yu,text_match,门店
Penn Station,US00007,2026-03-22,CK-2026-1023,5,清洁卫生,5.1.2,Equipment and Food Processing Utensils,Cleaning schedule is posted and signed off daily is verified,"Ice machine leaking water, needs repair by maintenance team",Important,M,-5,Zhang Wei,text_match,机修
Union Square,US00010,2026-03-25,CK-2026-1029,5,清洁卫生,5.3.2,Trash Cans,"Floors, walls and ceilings in food areas are clean and in good repair",Light fixture cover cracked in food prep area,Important,M,-5,Wang Fang,text_match,机修
28th & 6th,US00006,2026-03-25,CK-2026-1021,7,设备设施维护,7.2.1,Facility Inspection and Maintenance,Lighting fixtures in food preparation areas ar,Employee health certificate expired last month,General,G,-2,Li Ming,text_match,门店
Bryant Park,US00003,2026-03-28,CK-2026-1018,1,证照文件记录,1.1.1,License Documents,Store has valid food service license pr,Mold observed on ceiling tiles near ventilation duct,General,G,-2,Chen Yu,text_match,营建
Bryant Park,US00003,2026-03-28,CK-2026-1018,1,证照文件记录,1.2.1,Government inspection,(G) All required government permits are posted in customer-visible area,Operating license not displayed in customer visible area,General,G,-2,Chen Yu,text_match,门店
Columbus Circle,US00009,2026-03-06,CK-2026-1027,7,设备设施维护,7.2.1,Lights,Lighting fixtures in food preparation areas are protected and functional is verified,Personal items found in food preparation area,General,G,-2,Wang Fang,text_match,门店
Herald Square,US00002,2026-03-19,CK-2026-1016,1,证照文件记录,1.3.1,License Documents,(G) Government inspection records are maintained on file,Trash can lid broken and does not close properly,General,G,-2,Li Ming,text_match,机修
Herald Square,US00002,2026-03-19,CK-2026-1016,5,清洁卫生,5.2.2,Food Processing Area,"Operation stands, shelves, cabinets and water sinks are clean and orderly is verified",Chemical storage bottles not properly labeled with contents,General,G,-2,Li Ming,text_match,门店
JFK Terminal 1,US00008,2026-03-27,CK-2026-1024,5,清洁卫生,5.2.1,Procedures for Cleaning and Disinfection,(G) Equipment and food processing utensils are cleaned after each use,Trash can lid broken and does not close properly,General,G,-2,Zhang Wei,text_match,机修
JFK Terminal 1,US00008,2026-03-27,CK-2026-1024,8,化学品管理,8.1.2,Chemical Mark/Storage,(G) Chemical storage area is separate from food preparation and storage areas,Operating license not displayed in customer visible area,General,G,-2,Zhang Wei,text_match,门店
Midtown East,US00005,2026-03-04,CK-2026-1020,2,员工健康与个人卫生,2.1.2,Handwashing Standards,(G) Employee health screening records ,"Floor not clean under the sink area, standing water observed",General,G,-2,Chen Yu,text_match,门店
Midtown East,US00005,2026-03-04,CK-2026-1020,5,清洁卫生,5.2.1,Trash Cans,(G) Equipment and food processing utensils are cleaned after each use,Food storage containers not labeled with preparation date,General,G,-2,Chen Yu,text_match,门店
Midtown East,US00005,2026-03-04,CK-2026-1020,5,清洁卫生,5.2.1,Food Processing Area,Equipment and food processing utensils are cleaned after each use,Water filter replacement is overdue by two weeks,General,G,-2,Chen Yu,text_match,机修
Penn Station,US00007,2026-03-22,CK-2026-1023,2,员工健康与个人卫生,2.2.2,Handwashing Standards,(L) Handwashing station is fully stocked with soap and paper towels,Freezer temperature reading above -18C acceptable range,General,G,-2,Zhang Wei,text_match,门店
