check_items_full,empapp_label,count,module_id,module_cn,module_en,matched_clause,match_score,match_method,match_confidence,text_severity,severity,severity_mismatch,check_items_preview
(L) Business registration certificate is current and accessible,Government inspection,2,1,证照文件记录,Document Record,1.1.2,1.0,text_match,high,L,G,True,(L) Business registration certificate is current and accessible
(G) All required government permits are posted in customer-visible area,Government inspection,1,1,证照文件记录,Document Record,1.2.1,0.9,text_match,high,,G,False,(G) All required government permits are posted in customer-visible area
(G) Business registration certificate is current and accessible,License Documents,1,1,证照文件记录,Document Record,1.1.2,0.9,text_match,high,,L,False,(G) Business registration certificate is current and accessible
(G) Business registration certificate is current and accessible,Licenses and certificates,1,1,证照文件记录,Document Record,1.1.2,0.9,text_match,high,,O,False,(G) Business registration certificate is current and accessible
(G) Government inspection records are maintained on file,License Documents,1,1,证照文件记录,Document Record,1.3.1,0.9,text_match,high,,G,False,(G) Government inspection records are maintained on file
(L) (G) Government inspection records are maintained on file,Licenses and certificates,1,1,证照文件记录,Document Record,1.3.1,0.9,text_match,high,L,L,False,(L) (G) Government inspection records are maintained on file
(L) All required government permits are posted in customer-visible area,Government inspection,1,1,证照文件记录,Document Record,1.2.1,1.0,text_match,high,L,O,True,(L) All required government permits are posted in customer-visible area
(L) All required government permits are posted in customer-visible area,Licenses and certificates,1,1,证照文件记录,Document Record,1.2.1,1.0,text_match,high,L,O,True,(L) All required government permits are posted in customer-visible area
All required government permits are posted in customer-visible area,Licenses and certificates,1,1,证照文件记录,Document Record,1.2.1,1.0,text_match,high,,M,False,All required government permits are posted in customer-visible area
All required government permits is posted in customer-visible area,License Documents,1,1,证照文件记录,Document Record,1.2.1,0.962,text_match,high,,L,False,All required government permits is posted in customer-visible area
Business registration certificate is cu,License Documents,1,1,证照文件记录,Document Record,1.1.2,0.9,text_match,high,,L,False,Business registration certificate is cu
Business registration certificate is current and accessible,Licenses and certificates,1,1,证照文件记录,Document Record,1.1.2,1.0,text_match,high,,L,False,Business registration certificate is current and accessible
Business registration certificate is current and accessible is verified,License Documents,1,1,证照文件记录,Document Record,1.1.2,0.9,text_match,high,,O,False,Business registration certificate is current and accessible is verified
Government inspection records are ma,Government inspection,1,1,证照文件记录,Document Record,1.3.1,0.9,text_match,high,,L,False,Government inspection records are ma
Government inspection records is maintained on file,Licenses and certificates,1,1,证照文件记录,Document Record,1.3.1,0.951,text_match,high,,L,False,Government inspection records is maintained on file
License renewal dates are tracked and upd,Government inspection,1,1,证照文件记录,Document Record,1.2.2,0.9,text_match,high,,L,False,License renewal dates are tracked and upd
License renewal dates are tracked and upd,Licenses and certificates,1,1,证照文件记录,Document Record,1.2.2,0.9,text_match,high,,G,False,License renewal dates are tracked and upd
Store has valid food service license pr,License Documents,1,1,证照文件记录,Document Record,1.1.1,0.9,text_match,high,,G,False,Store has valid food service license pr
(G) Disposable gloves are used during food preparation and changed between tasks,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.2,0.9,text_match,high,,L,False,(G) Disposable gloves are used during food preparation and changed between tasks
