store_name,store_serial,check_date,checklist_number,module_id,module_cn,matched_clause,label,check_items,issue_description,deduction_type,severity,deduction_value,checker,match_method,estimated_responsibility,check_category
28th & 6th,US00006,2026-01-19,CK-2026-2019,4,交叉污染防控,4.2.2,Cross Contamination,(G) (G) Utensils are properly stored and maintained to prevent contamination,Light fixture cover cracked in food prep area,General,G,-2,Daniel Chu,text_match,机修,Area food safety Check
28th & 6th,US00006,2026-01-19,CK-2026-2019,10,饮用水与管道系统,10.2.1,Water Filtration Device,Water sinks and pipes are in good cond,Freezer temperature reading above -18C acceptable range,General,G,-2,Daniel Chu,text_match,门店,Area food safety Check
Columbus Circle,US00009,2026-01-17,CK-2026-2017,5,清洁卫生,5.2.2,Procedures for Cleaning and Disinfection,"Operation stands, shelves, cabinets and water sinks is clean and orderly",Food items stored directly on floor in dry storage room,General,G,-2,Daniel Chu,text_match,门店,Area food safety Check
Columbus Circle,US00009,2026-01-17,CK-2026-2017,8,化学品管理,8.2.1,Chemical Mark/Storage,MSDS sheets are available for all chemicals used on premises,Light fixture cover cracked in food prep area,General,G,-2,Daniel Chu,text_match,机修,Area food safety Check
Columbus Circle,US00009,2026-01-17,CK-2026-2017,1,证照文件记录,1.2.1,Government inspection,(G) All required government permits are posted in customer-visible area,Operating license not displayed in customer visible area,General,G,-2,Daniel Chu,text_match,门店,Area food safety Check
Herald Square,US00002,2026-01-16,CK-2026-2014,8,化学品管理,8.1.2,Chemical Mark/Storage,Chemical storage area is separate from food preparation and storage areas,Grease trap cleaning overdue per maintenance schedule,General,G,-2,Yu Jiang,text_match,机修,Store food safety audit
Herald Square,US00002,2026-01-16,CK-2026-2014,7,设备设施维护,7.1.1,Equipment Inspection and Maintenance,Equipment is inspected regularly and maint,"Floor not clean under the sink area, standing water observed",General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
Herald Square,US00002,2026-01-16,CK-2026-2014,6,产品与有效期管理,6.1.2,Operating Specifications,Temperature logs are completed and recorded at required intervals is verified,Raw chicken stored above ready-to-eat items in refrigerator,General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
Herald Square,US00002,2026-01-16,CK-2026-2014,6,产品与有效期管理,6.4.1,Food,(G) Unqualified goods are segregated and properly documented,Trash can lid broken and does not close properly,General,G,-2,Yu Jiang,text_match,机修,Store food safety audit
Herald Square,US00002,2026-01-16,CK-2026-2014,12,门店稽核管理,12.1.2,Requirements,(G) Previous audit findings have been addressed and documented,Food storage containers not labeled with preparation date,General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
JFK Terminal 1,US00008,2026-01-20,CK-2026-2010,9,虫害防控,9.2.2,No Sign of Insect Pests,(L) All entry points are sealed to prevent pests from entering,Food items stored directly on floor in dry storage room,General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
JFK Terminal 1,US00008,2026-01-20,CK-2026-2010,10,饮用水与管道系统,10.2.2,Potable Water Supply is Adequate,"(L) Grease traps, residue traps and sewer lines are cleaned regularly",Employee health certificate expired last month,General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
JFK Terminal 1,US00008,2026-01-20,CK-2026-2010,7,设备设施维护,7.1.2,Lights,Facility structures is inspected and maintained in good condition,Trash can lid broken and does not close properly,General,G,-2,Yu Jiang,text_match,机修,Store food safety audit
Midtown East,US00005,2026-01-20,CK-2026-2013,2,员工健康与个人卫生,2.1.2,Personal Hygiene,(G) (G) Employee health screening records are up to date,Gloves not worn during food preparation observed,General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
Times Square,US00001,2026-01-16,CK-2026-2012,1,证照文件记录,1.3.1,Licenses and certificates,(G) Government inspection records are maintained on file,Employee health certificate expired last month,General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
Times Square,US00001,2026-01-16,CK-2026-2012,9,虫害防控,9.2.1,Insect Pest Control Facilities & Suppliers,No signs of insect or rodent activity observed during inspection,Light fixture cover cracked in food prep area,General,G,-2,Yu Jiang,text_match,机修,Store food safety audit
Union Square,US00010,2026-01-24,CK-2026-2015,6,产品与有效期管理,6.1.1,Product Storage Conditions,(G) Temperature monitoring devices is installed in all refrigerators and freezers,Temperature log not completed for main refrigerator today,General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
Union Square,US00010,2026-01-24,CK-2026-2015,4,交叉污染防控,4.2.2,Cross Contamination,(G) Utensils are properly stored and maintained to prevent contamination,Personal items found in food preparation area,General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
Union Square,US00010,2026-01-24,CK-2026-2015,9,虫害防控,9.1.2,No Sign of Insect Pests,Pest control facilities including traps are properly maintained is verified,Employee health certificate expired last month,General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
Union Square,US00010,2026-01-24,CK-2026-2015,6,产品与有效期管理,6.2.2,Operating Specifications,Food items are stored using FIFO method with proper date labels is verified,Mold observed on ceiling tiles near ventilation duct,General,G,-2,Yu Jiang,text_match,营建,Store food safety audit
Union Square,US00010,2026-01-24,CK-2026-2015,4,交叉污染防控,4.1.1,Avoidance of Falling Foreign Objects,Raw and cooked food items are stored separately t,Water filter replacement is overdue by two weeks,General,G,-2,Yu Jiang,text_match,机修,Store food safety audit
Wall Street,US00004,2026-01-18,CK-2026-2011,6,产品与有效期管理,6.2.1,Operating Specifications,Product storage conditions meet specifi,Grease trap cleaning overdue per maintenance schedule,General,G,-2,Yu Jiang,text_match,机修,Store food safety audit
Wall Street,US00004,2026-01-18,CK-2026-2011,4,交叉污染防控,4.2.1,Cross Contamination,(G) Materials are stored in designated locations according to specification,Food items stored directly on floor in dry storage room,General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
Wall Street,US00004,2026-01-18,CK-2026-2011,10,饮用水与管道系统,10.2.1,Grease traps&Residue traps&Sewer lines,(G) Water sinks and pipes are in good condition without leaks is verified,Personal items found in food preparation area,General,G,-2,Yu Jiang,text_match,门店,Store food safety audit
28th & 6th,US00006,2026-01-19,CK-2026-2019,2,员工健康与个人卫生,2.3.3,Personal certificate,Blue bandages is available and used for any cuts or wounds,Chemical storage bottles not properly labeled with contents,Slight,L,-1,Daniel Chu,text_match,门店,Area food safety Check
28th & 6th,US00006,2026-01-19,CK-2026-2019,12,门店稽核管理,12.1.2,Requirements,(L) Previous audit findings have been addre,Cutting board has deep grooves and needs replacement,Slight,L,-1,Daniel Chu,text_match,机修,Area food safety Check
Bryant Park,US00003,2026-01-16,CK-2026-2016,3,供应商管理,3.1.1,Approved Goods,All food supplies is from approved suppliers on the vendor list,Cutting board has deep grooves and needs replacement,Slight,L,-1,Yu Jiang,text_match,机修,Store food safety audit
Bryant Park,US00003,2026-01-16,CK-2026-2016,8,化学品管理,8.2.1,Chemical Mark/Storage,(G) MSDS sheets are available for all chemicals used on premises,"Ice machine leaking water, needs repair by maintenance team",Slight,L,-1,Yu Jiang,text_match,机修,Store food safety audit
Bryant Park,US00003,2026-01-16,CK-2026-2016,2,员工健康与个人卫生,2.1.1,Personal certificate,(L) (G) All food handlers have valid health certificates on file,Food items stored directly on floor in dry storage room,Slight,L,-1,Yu Jiang,text_match,门店,Store food safety audit
Bryant Park,US00003,2026-01-16,CK-2026-2016,12,门店稽核管理,12.2.1,Requirements,Corrective action records are maintained fo,Raw chicken stored above ready-to-eat items in refrigerator,Slight,L,-1,Yu Jiang,text_match,门店,Store food safety audit
Columbus Circle,US00009,2026-01-17,CK-2026-2017,12,门店稽核管理,12.1.1,Requirements,(L) Store audit management procedures and checklists are followed,"Floor not clean under the sink area, standing water observed",Slight,L,-1,Daniel Chu,text_match,门店,Area food safety Check
Columbus Circle,US00009,2026-01-17,CK-2026-2017,6,产品与有效期管理,6.1.2,Expiration Date,Temperature logs is completed and recorded at required intervals,Cutting board has deep grooves and needs replacement,Slight,L,-1,Daniel Chu,text_match,机修,Area food safety Check
Columbus Circle,US00009,2026-01-17,CK-2026-2017,5,清洁卫生,5.1.1,Trash Cans,Cleaning and disinfection procedures are followed according to schedule is verified,Water filter replacement is overdue by two weeks,Slight,L,-1,Daniel Chu,text_match,机修,Area food safety Check
Columbus Circle,US00009,2026-01-17,CK-2026-2017,10,饮用水与管道系统,10.1.2,Grease traps&Residue traps&Sewer lines,(L) Potable water supply is adequate for all operational needs,Raw chicken stored above ready-to-eat items in refrigerator,Slight,L,-1,Daniel Chu,text_match,门店,Area food safety Check
Columbus Circle,US00009,2026-01-17,CK-2026-2017,9,虫害防控,9.1.1,No Sign of Insect Pests,(L) Pest control service contract is current with licensed provider,Trash can lid broken and does not close properly,Slight,L,-1,Daniel Chu,text_match,机修,Area food safety Check
Herald Square,US00002,2026-01-16,CK-2026-2014,4,交叉污染防控,4.2.2,Cross Contamination,Utensils are properly stored and maintained ,Grease trap cleaning overdue per maintenance schedule,Slight,L,-1,Yu Jiang,text_match,机修,Store food safety audit
Herald Square,US00002,2026-01-16,CK-2026-2014,1,证照文件记录,1.2.1,License Documents,All required government permits is posted in customer-visible area,Mold observed on ceiling tiles near ventilation duct,Slight,L,-1,Yu Jiang,text_match,营建,Store food safety audit
JFK Terminal 1,US00008,2026-01-20,CK-2026-2010,5,清洁卫生,5.2.1,Trash Cans,(L) Equipment and food processing utensils are cleaned after each use,Trash can lid broken and does not close properly,Slight,L,-1,Yu Jiang,text_match,机修,Store food safety audit
Midtown East,US00005,2026-01-20,CK-2026-2013,11,工作场所安全,11.1.2,Workplace Safety,First aid kit is stocked and accessible,Mold observed on ceiling tiles near ventilation duct,Slight,L,-1,Yu Jiang,text_match,营建,Store food safety audit
Times Square,US00001,2026-01-16,CK-2026-2012,2,员工健康与个人卫生,2.2.1,Employees' Health,(L) (L) Staff demonstrate proper handwashing technique and frequency,Personal items found in food preparation area,Slight,L,-1,Yu Jiang,text_match,门店,Store food safety audit
Times Square,US00001,2026-01-16,CK-2026-2012,5,清洁卫生,5.4.2,"Operation Stand, Shelf, Cabinet and Water Sink",Trash cans are emptied regularly and lids a,Pest trap behind counter not checked in 30+ days,Slight,L,-1,Yu Jiang,text_match,门店,Store food safety audit
Times Square,US00001,2026-01-16,CK-2026-2012,8,化学品管理,8.1.2,Chemical Mark/Storage,(L) (G) Chemical storage area is separate from food preparation and storage areas,Food items stored directly on floor in dry storage room,Slight,L,-1,Yu Jiang,text_match,门店,Store food safety audit
Times Square,US00001,2026-01-16,CK-2026-2012,3,供应商管理,3.2.1,Approved Goods,Incoming goods is inspected and documented upon delivery,Food items stored directly on floor in dry storage room,Slight,L,-1,Yu Jiang,text_match,门店,Store food safety audit
Times Square,US00001,2026-01-16,CK-2026-2012,2,员工健康与个人卫生,2.3.2,Personal certificate,Disposable gloves are used during food preparati,Grease trap cleaning overdue per maintenance schedule,Slight,L,-1,Yu Jiang,text_match,机修,Store food safety audit
Union Square,US00010,2026-01-24,CK-2026-2015,12,门店稽核管理,12.1.2,Requirements,Previous audit findings have been addressed and documented,Gloves not worn during food preparation observed,Slight,L,-1,Yu Jiang,text_match,门店,Store food safety audit
Union Square,US00010,2026-01-24,CK-2026-2015,1,证照文件记录,1.1.1,License Documents,(L) (G) Store has valid food service license prominently displayed,Operating license not displayed in customer visible area,Slight,L,-1,Yu Jiang,text_match,门店,Store food safety audit
Wall Street,US00004,2026-01-18,CK-2026-2011,5,清洁卫生,5.1.2,"Operation Stand, Shelf, Cabinet and Water Sink",Cleaning schedule is posted and si,No air gap found in plumbing connection under three-compartment sink,Slight,L,-1,Yu Jiang,text_match,营建,Store food safety audit
Wall Street,US00004,2026-01-18,CK-2026-2011,3,供应商管理,3.1.1,Approved Goods,All food supplies are from approved suppliers on the vendor list is verified,Employee health certificate expired last month,Slight,L,-1,Yu Jiang,text_match,门店,Store food safety audit
Wall Street,US00004,2026-01-18,CK-2026-2011,9,虫害防控,9.2.1,Insect Pest Control Facilities & Suppliers,No signs of insect or rodent activity observed during inspection,Handwashing station missing soap dispenser refill,Slight,L,-1,Yu Jiang,text_match,门店,Store food safety audit
Wall Street,US00004,2026-01-18,CK-2026-2011,4,交叉污染防控,4.2.2,Storage/Maintenance of Utensils,(L) Utensils are properly stored and maintained to prevent contamination,Operating license not displayed in customer visible area,Slight,L,-1,Yu Jiang,text_match,门店,Store food safety audit
JFK Terminal 1,US00008,2026-01-20,CK-2026-2010,1,证照文件记录,1.1.1,License Documents,(L) Store has valid food service license prominently displayed,Grease trap cleaning overdue per maintenance schedule,Important,M,-5,Yu Jiang,text_match,机修,Store food safety audit
Midtown East,US00005,2026-01-20,CK-2026-2013,11,工作场所安全,11.1.2,Workplace Safety,(L) First aid kit is stocked and accessible,Gloves not worn during food preparation observed,Important,M,-5,Yu Jiang,text_match,门店,Store food safety audit
Times Square,US00001,2026-01-16,CK-2026-2012,4,交叉污染防控,4.3.1,Material Storage Location Specification,Measures are in place to avoid falling foreign objects into food is verified,Freezer temperature reading above -18C acceptable range,Important,M,-5,Yu Jiang,text_match,门店,Store food safety audit
Union Square,US00010,2026-01-24,CK-2026-2015,4,交叉污染防控,4.2.2,Storage/Maintenance of Utensils,Utensils is properly stored and maintained to prevent contamination,"Floor not clean under the sink area, standing water observed",Important,M,-5,Yu Jiang,text_match,门店,Store food safety audit
Herald Square,US00002,2026-01-16,CK-2026-2014,12,门店稽核管理,12.2.1,Requirements,Corrective action records are maintained for all identified issues,Water filter replacement is overdue by two weeks,Key,S,-5,Yu Jiang,text_match,机修,Store food safety audit
Midtown East,US00005,2026-01-20,CK-2026-2013,10,饮用水与管道系统,10.2.1,Water Filtration Device,Water sinks and pipes are in good cond,Cutting board has deep grooves and needs replacement,Key,S,-5,Yu Jiang,text_match,机修,Store food safety audit
Union Square,US00010,2026-01-24,CK-2026-2015,8,化学品管理,8.1.2,Chemical Mark/Storage,(S) Chemical storage area is separate from food pr,Mold observed on ceiling tiles near ventilation duct,Key,S,-5,Yu Jiang,text_match,营建,Store food safety audit
Wall Street,US00004,2026-01-18,CK-2026-2011,5,清洁卫生,5.2.2,Equipment and Food Processing Utensils,"(S) (G) Operation stands, shelves, cabinets and water sinks are clean and orderly",Temperature log not completed for main refrigerator today,Key,S,-5,Yu Jiang,text_match,门店,Store food safety audit
